仕分納品日,仕分便№,発注納品日,発注便№,商品コード,連番,店コード,仕分ステーション,仕分アイル,仕分スロット,ケース入数,仕分け数,登録日付,登録時刻,登録ログインID,更新日付,更新時刻,更新ログインID
20230623,1,20230623,1,000253,1,sc001,1,1,1,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc002,1,1,2,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc003,1,1,3,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc004,1,1,4,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc005,1,1,5,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc006,1,1,6,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc007,1,1,7,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc008,1,1,8,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc009,1,1,9,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc010,1,1,10,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc011,1,1,11,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc012,1,1,12,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc013,1,1,13,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc014,1,1,14,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc015,1,1,15,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc016,1,1,16,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc017,1,1,17,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc018,1,1,18,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc019,1,1,19,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc020,1,1,20,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc021,1,1,21,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc022,1,1,22,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc023,1,1,23,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc024,1,1,24,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc025,1,1,25,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc026,1,1,26,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc027,1,1,27,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc028,1,1,28,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc029,1,1,29,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc030,1,1,30,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc031,1,1,31,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc032,1,1,32,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc033,1,1,33,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc034,1,1,34,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc035,1,1,35,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc036,1,1,36,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc101,1,1,1,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc102,1,1,2,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc103,1,1,3,0,10,20230623,101500,admin,,,
20230623,1,20230623,1,000253,1,sc104,1,1,4,0,10,20230623,101500,admin,,,
