日時,種別,エラー内容
2024/04/03 23:38:53,サーバー,MASTER_WORK_FILE_READ_ERROR
2024/04/03 23:38:34,サーバー,MASTER_WORK_FILE_READ_ERROR
2024/04/03 23:33:13,アプリケーション,EXCEPTION
2024/04/03 23:33:03,サーバー,MASTER_WORK_FILE_READ_ERROR
2024/04/03 23:32:53,サーバー,MASTER_WORK_FILE_READ_ERROR
2024/04/03 23:32:43,サーバー,MASTER_WORK_FILE_READ_ERROR
2024/04/03 23:32:33,サーバー,MASTER_WORK_FILE_READ_ERROR
2024/04/03 23:32:27,アプリケーション,EXCEPTION
2024/04/03 23:32:18,サーバー,MASTER_WORK_FILE_READ_ERROR
2024/04/03 23:31:57,サーバー,MASTER_WORK_FILE_READ_ERROR
2024/04/03 23:31:38,サーバー,MASTER_WORK_FILE_READ_ERROR
2024/03/19 16:15:21,アプリケーション,EXCEPTION
2024/02/28 15:56:32,アプリケーション,EXCEPTION
2024/02/28 15:56:32,アプリケーション,EXCEPTION
2024/02/28 15:56:31,アプリケーション,EXCEPTION
2024/02/28 15:54:45,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:54:35,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:54:18,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:45:09,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:43:20,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:42:14,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:41:55,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:41:45,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:41:35,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:41:25,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:41:15,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:41:05,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:40:55,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:40:45,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:40:28,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/29 11:31:13,アプリケーション,既に仕分完了している商品です JANコード : 4903423603406
2024/02/29 11:31:12,アプリケーション,既に仕分完了している商品です JANコード : 4901306075111
2024/02/28 17:07:15,APPLICATION,既に仕分完了している商品です JANコード : 4901306075111
2024/02/21 01:50:41,APPLICATION,EXCEPTION
2024/02/21 01:48:30,APPLICATION,EXCEPTION
