納品日,取引先コード,VDRコード,取引先名(漢字),商品コード,便,JANコード,JAN区分,商品名(漢字),DEPT-CLASS,センター入数,パック入数,JANコード下4桁,商品名(カナ)
20231226,123609,236080,森永乳業㈱東京支社　　　　　　　　　　　　　　　　,000592,1,4902720158732,1,リプトンラ・フランスティー　　４５０ｍｌ　　,12005,20,0,8732,ﾘﾌﾟﾄﾝ ﾗﾌﾗﾝｽﾃｨｰ        ,
20231226,125121,219444,㈱ＳＣＩ（グルメデリカ所沢工場）　　　　　　　　　,000863,1,2300086300000,14,●おにぎりおかずセット（鮭・シーチキンマヨ）,01007,16,0,0863,ｵﾆｷﾞﾘｵｶｽﾞｾｯﾄ          ,
20231226,126951,218863,㈱ＳＣＩ（日本クッカリー厚木）　　　　　　　　　　,001197,1,2300119700000,14,おかずいろいろ幕の内　　　　　　　　　　　　,01001,10,0,1197,ｵｶｽﾞｲﾛｲﾛﾏｸﾉｳﾁ         ,
20231226,119032,236071,三菱食品㈱　（アクセス）　　　　　　　　　　　　　,001668,1,4901306075111,1,●野菜生活スムージービタミン　　　３３０ｍｌ,12002,12,0,5111,ﾔｻｲｾｲｶﾂｽﾑｰｼﾞｰﾋﾞﾀﾐﾝ    ,
20231226,119032,200310,三菱食品㈱　（アクセス）　　　　　　　　　　　　　,001811,1,4932707234081,1,カフェラテ　カフェインレス　　２００ｍｌ　　,12009,12,0,4081,ｶﾌｪﾗﾃ ｶﾌｪｲﾝﾚｽ         ,
20231226,120341,237868,安曇野食品工房㈱　　　　　　　　　　　　　　　　　,002945,1,4560338756728,1,◎●ＮＬのむＹＧいちご　　　　１９０ｇ　　　,12009,12,0,6728,NLﾉﾑﾖｰｸﾞﾙﾄｲﾁｺﾞ        ,
20231226,119032,236071,三菱食品㈱　（アクセス）　　　　　　　　　　　　　,003334,1,4901306175118,1,●野菜生活スムージービタミン１２本　　　　　,12002,12,12,5118,*12*ﾔｻｲｾｲｶﾂｽﾑｰｼﾞｰﾋﾞﾀﾐﾝ,
20231226,122785,236381,雪印メグミルク㈱　関東　　　　　　　　　　　　　　,003762,1,4903423603406,1,◎●Ｌｂ　低脂肪乳鉄分＋Ｃａ入り１０００ｍｌ,12027,12,0,3406,LB ﾃｲｼﾎﾞｳﾆｭｳ 1000ML   ,
20231226,118931,254363,三菱食品㈱　　　　　　　　　　　　　　　　　　　　,004466,1,4902188124638,1,◎ＵＣタピオカミルクティー　　　２４０ｇ　　,12009,12,0,4638,UCﾀﾋﾟｵｶﾐﾙｸﾃｨｰ         ,
20231226,120341,237868,安曇野食品工房㈱　　　　　　　　　　　　　　　　　,004690,1,4560338756735,1,◎●ＮＬのむＹＧブルーベリー　１９０ｇ　　　,12009,12,0,6735,NLﾉﾑﾖｰｸﾞﾙﾄﾌﾞﾙｰﾍﾞﾘｰ    ,
20231226,118931,240052,三菱食品㈱　　　　　　　　　　　　　　　　　　　　,004813,1,4901277248170,1,●エルビー　大人の紅茶ストレートティー　１Ｌ,12008,12,0,8170,ｴﾙﾋﾞｰ ｵﾄﾅﾉｺｳﾁｬｽﾄﾚｰﾄﾃｨｰ,
20231226,119032,236071,三菱食品㈱　（アクセス）　　　　　　　　　　　　　,004893,1,4901085046449,1,◎●伊藤園　１日分の野菜　　　　　２００ｍｌ,12002,24,12,6449,ｲﾄｳｴﾝｲﾁﾆﾁﾌﾞﾝﾉﾔｻｲ 200ML,
20231226,122904,236241,㈱明治　東京　　　　　　　　　　　　　　　　　　　,005613,1,4549737102015,1,●明治　ザバスミルクチョコレート　２４本　　,12003,24,24,2015,*24*ﾒｲｼﾞｻﾞﾊﾞｽﾐﾙｸﾁｮｺﾚｰﾄ,
20231226,122785,236381,雪印メグミルク㈱　関東　　　　　　　　　　　　　　,006088,1,4549737104590,1,●ドール１００％アップル２００ｍｌ特別原価　,12002,18,18,4590,***ﾄﾞｰﾙ100%ｱｯﾌﾟﾙ      ,
